company,title,body,date,location,job_role,job_status,rating,work_balance,benefits,security_adv,management,culture,pros,cons
Delta Air Lines,Awesome,Great people to work with. Staff is great. Enjoyed meeting people from all walks of life. Very diverse staff. A lot of walking and talking. Enjoyed it,2024-07-26,"Atlanta, GA",Cabin Cleaner,Former Employee,5.0,,,,,,,
Delta Air Lines,Loved working here.,"Some days are busier than others.  Once you learn the operation, it was fairly easy.  Loved that everyday was different.  Left due to Covid and reduction in force.  Would love to work for Delta again",2024-07-23,"Atlanta, GA",Customer Service,Former Employee,5.0,,,,,,Flight Benefits,Dealing with irate customers
Delta Air Lines,World class all around leader in the airline industry .,"What is the best part of working at the company? Pride, respect, teamwork, decency and decent pay. What is the most stressful part about working at the company? Baggage when flight is canceled. What is the work environment and culture like at the company? Diverse team members from all over the world. What is a typical day like for you at the company? You never know what to expect but it’s what you make of it and you attitude.",2024-07-22,"Seattle, WA",Customer Service Representative,Current Employee,5.0,,,,,,,
Delta Air Lines,Horrible pay,"Terrible Managers, and horrible pay. The team was driven by drama and no one was experienced in HR. It felt like the blind leading the blind. There were a few coordinators and specialists who were more qualified to lead the accounts than the client service managers, or talent program managers assigned to this account.",2024-07-16,United States,Talent Acquisition Specialist,Former Employee,1.0,,,,,,None,"Inexp Managers, Low Pay and no career growth."
Delta Air Lines,"Fun, but not very supportive","Great environment overall when it comes to coworkers, but upper management never wanted to listen to the feedback from the GSA/GA’s themselves. Made the environment tough to work in.",2024-07-14,"Boston, MA",Guest Service Agent,Former Employee,3.0,,,,,,,
Delta Air Lines,good,"is a leading software company renowned for its innovative products like Photoshop, Illustrator, and Acrobat. Their Creative Cloud suite is a game-changer for professionals in design, photography, video, and web development. Adobe continuously updates its software, ensuring cutting-edge tools and features. Their customer support is responsive and helpful, adding to the overall positive experience. The company is also committed to sustainability and diversity, making it a socially responsible choice. With a user-friendly interface and powerful capabilities, Adobe remains a top choice for creative professionals worldwide.",2024-07-12,"Atlanta, GA",Data Science Consultant,Former Employee,5.0,,,,,,,
Delta Air Lines,Always something to do,Pay sucks. You’re doing the work of $18-20 an hour getting $15.50. Most people only work there for the flight benefits/ which you can’t take because you’re super short handed. Turnover is a killer.,2024-07-10,"Panama City, FL",Customer Service Agent,Current Employee,4.0,,,,,,Flight benefits,Pay
Delta Air Lines,Good,I worked hard at working hard at working harder every day until I exploded with joy to he a hard working worker in such a hard working environment that day,2024-07-07,"San Jose, CA",Steward,Former Employee,1.0,,,,,,,
Delta Air Lines,"Fun workplace, not flexible unless you get someone to cover your shift or have pto","Easy job, great flight benefits. Be on time, be safe and do your job and you will have no issues. The most things people get written up for is attendance and safety.",2024-07-06,"Raleigh-Durham, NC",Ticketing/Gate Agent,Current Employee,4.0,,,,,,,
Delta Air Lines,Terrible management,"The station I work with is a smaller station so you think everything would be a big family. Which couldn't be farther from the truth. There's so much gossip rumor fighting arguing going on. I learned that you really can't trust management. They say they're all about safety safety is number one safety is this safety is that. But when it comes down to it you get a nice big cut on your knee your shift ends and then they hold you over for another 5 hours. Or you hurt your back and you end up going home within the next day they bring you into their office and you get in trouble for leaving during  mandatory overtime. You get paid decent depending on where you live in the country minus the Fact that you're working with multi million dollar equipment, dangerous environments, and worst of all terrible management. Hardest part of the job is dealing with all the management and lies that they say. The fact that they're able to mandatory overtime you without giving you any notice. But there are some good things about the job as well like some of the coworkers you work with you do start a friend group. At my last airline station everyone knew everyone everyone liked each other for the most part. Management was way better. Way understaffed and nobody complained. I've been there for three years and I feel like they still don't appreciate anyone no matter if we work hard or if you work slow you're treated the same.",2024-06-30,"Green Bay, WI",Ramp Agent/Baggage Handler,Current Employee,2.0,,,,,,Free flights,"Management, Dangerous environment"
Delta Air Lines,Only good thing about this company is the flight benefits,"If you are a merit employee at Delta Airlines you are given no respect whatsoever by anyone.    The hours and workload are brutal.   The company is so woke and everyone in management is subject to the whims of the woke culture there.    I think most employees stay for the industry standard salaries and the flight benefits, other than that it’s not a great place to work.",2024-06-28,"Atlanta, GA",Inventory Analyst,Former Employee,2.0,,,,,,,
Delta Air Lines,Delta pushed data driven results more than employee relaxation,"Typical day started a performance review and follow up required on any delay  I did learn that data dependent drives performance.  A management style that blends data and caring for employees will and can co-exist.  Workplace culture has to put employee first when in need Hardest part of job motivating unmotivated employees The absolute best part of my job when an employee was at their lowest and sometime after our plan to get on track and it WORKED, they thanked me with tears in their eyes.",2024-06-24,"Minneapolis, MN","Director, Customer Service",Former Employee,4.0,,,,,,Compensation,Work life balance
Delta Air Lines,I love working there,Show up on time clock-in review you email and see there anything new after you left work . I am learned how to relay on my teammate to better ourselves in the company.  I learn how to set a timer for every task I work on.  I truly don’t have hard day work,2024-06-23,"Salt Lake City, UT",Costumer Service Representative,Former Employee,5.0,,,,,,Team work,The office too far from where I live
Delta Air Lines,Extremely diversified with great culture.,Great company to work for considering it’s a 24/7 operation.Flexible schedules started out as a Transportation Supervisor.Learned various task to move throughout operations.,2024-06-22,"Memphis, TN",Operations Manager,Former Employee,4.0,,,,,,Free lunches,No discount flights
Delta Air Lines,Fun workplace,"Delta is a great company but it’s those that in power at different hubs that need to be questioned. Not everyone is your friend, mind you business and get to work",2024-06-22,"Jamaica, NY",Customer Service Representative,Former Employee,5.0,,,,,,,
Delta Air Lines,"Not Glam, Lots of Real Work","Up early, long days, irratic schedule.  Be prepared to work and be tired on most days. Not too much room to grow, but a good job if you like being social.",2024-06-20,"Los Angeles, CA",Flight Attendant,Former Employee,4.0,,,,,,,
Delta Air Lines,Good company,really great company to work for. good pay and great people. once you have enough seniority you can switch around your schedule and quality of life becomes much better.,2024-06-20,"Atlanta, GA",Flight Attendant,Former Employee,5.0,,,,,,,
Delta Air Lines,Worst time of my life,What is the best part of working at the company? They treat you like dirt. No respect they lie to your face What is the most stressful part about working at the company? Everything the place is a sh-t hole stay away  What is the work environment and culture like at the company? Hostile hazard unprofessional  What is a typical day like for you at the company? Like the 7th level of h-ll everyday,2024-06-18,Msp,Below wing ramp agent,Former Employee,1.0,,,,,,,
