company,title,body,date,location,job_role,job_status,rating,work_balance,benefits,security_adv,management,culture,pros,cons
Grade Potential Tutoring,It’s Easy to Tutor with Grade Potential!,"I enjoy working with the staff and my student clients at Grade Potential!  I have seen so much success with GP.  The staff makes it easy to find students with needs, and since I go to the homes of students or a public library, I don’t need to even trouble myself about anything except actually tutoring.  Thanks for being a faithful partner with all the logistics and marketing, Grade Potential!",2023-04-16,"Washington, DC","Tutor, English and Test Taking",Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"I can keep my tutoring skills sharp in an environment where students have different abilities, &  skill levels, and support.","What is the best part of working at the company? Excellent organization with expert staff and fair wages. Highly recommend.  What is the most stressful part about working at the company? The only stressor is knowing the level of expertise needed to successfully bring students to grade level. What is the work environment and culture like at the company? Very positive, encouraging, proactive, supportive.  What is a typical day like for you at the company? I meet with one or two students for one of two hours sessions.",2023-11-25,"Miami, FL",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Flexible work hours. Good variety of work assignments.,"Tutoring is a great way to work one on one with students, and support them in their schoolwork and  areas of difficulty. I enjoy the challenge of devising specific lesson plans and approaches for individual students. Every student I have tutored has been a pleasure to work with, focused, and ready to get to work. I have tutored students ranging from Kindergarten through college level.",2023-11-25,"Santa Barbara, CA",Private Tutor,Current Employee,5.0,4.0,5.0,4.0,3.0,0.0,"Working one on one with students. Seeing progress, helping parents by taking stress off of them.","Teaching foreign languages on Zoom can be challenging. Company has consistent turnover in management, communication can be challenging at times."
Grade Potential Tutoring,"Flexible hours, you choose who want to tutor",Great if you know how to work with kids and teach concepts in a way they understand. The pay is not the best but that depends on your prior tutoring experience.,2023-11-23,"Miami, FL",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Alright,"It's definitely not a stable job but the pay is good. Sometimes I will have students and sometimes I will not have any at all, so this is a good side job.",2023-11-18,"Walnut, CA",Tutor,Current Employee,3.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"No training/interview, excellent if you know what you are doing","Grade Potential Tutoring was the perfect job for me coming out of university. I get to choose and focus on my skill set which is reading comprehension, I didn’t have to interview (my resume/experience was enough), and I have no overhead which is relaxing and allows me to excel as an independent worker. However, if you are someone who needs training, doesn’t know how to work with parents/guardians of students, wants job advancement opportunities, community, or a stable income - this is probably not the work for you. It is great as a supplemental job.",2023-11-15,"Riverview, FL",Tutor,Current Employee,3.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Unlimited income potential,Working as a manager of client service the sky truly is the limit. You make a base salary and have the potential to make as much as you can through other outlets.,2023-10-31,Remote,Manager of Client Services,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"Fun, flexible job for college students","When you apply for the company, you typically apply for a specific subject/student, but they will continue to offer you more based on your experience/qualifications. If you're willing to take more on, you have many opportunities to earn more money. Each job is different. One student may only want to meet once a week for 30 minutes while another wants to meet for an hour, or a student may need to meet three times a week for an hour each time. It is very dependent on the situation, but you will know what they are requesting beforehand and have the option to accept or decline. Your first tutor session is also a trial run where you can choose not to return without penalty if the gig isn't a good fit for you. Management is pretty helpful at first, but not very useful afterwards. The job is very straightforward as everything is done through the website, and you are pretty much on your own.",2023-10-17,"Tampa, FL",Tutor,Former Employee,4.0,5.0,4.0,3.0,3.0,3.0,,
Grade Potential Tutoring,Good Pay: You need open availability,"I've been with them since late August. I like tutoring, and grade potential eliminates the awkwardness of establishing different hourly for different students and their assigned pay per student is really good. The only downside is I got this job for the flexibility but if you want to make the most of this job you need to have open availability for when a student has to reschedule or you want to take on more new students",2023-10-17,"Roswell, GA",Tutor,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,So far so good,"Just got my first student and the process seems super easy and flexible. Waiting patiently for them to schedule their first session! Honestly just excited to help kids, but the staff I’ve spoken to has been incredible as well.",2023-10-16,"Tacoma, WA",Tutor,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Good job,"Nice people, easy to work with. Can help students and earn some money while in college. They are very helpful and understanding when it comes to parents.",2023-10-14,Tutor,Tutor,Former Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
