company,title,body,date,location,job_role,job_status,rating,work_balance,benefits,security_adv,management,culture,pros,cons
Preply,Helpful and easy to use platform,"Starting working at Preply is very easy amd the courses for tutors are very helpful. Customer support is relatively good, only downsides are how competitive the work is and that the platform glitches.",2023-11-19,English Tutor,English Tutor,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Preply,You should just work there if you like to fake smile!,"A very toxic place to work, the people there are insane they prioritize work like crazy, and the managers just fake their interest in your well-being but numbers always come first! The CS are severely understaffed and the volume of daily interactions is crazy! more than 100. You're just expected to smile through everything. Fixed breaks that you take depending on what was scheduled not when you actually need them. / Very fast-paced and the managers don't help with updating their team so you're expected to be up to date no matter what / Weekly team meetings are always canceled /  1-1s are so vague",2023-10-30,Remote,Customer Service Specialist,Former Employee,3.0,1.0,3.0,2.0,2.0,1.0,Paid sick leaves and a budget (yearly) for self development.,Breaks set for you (not flexible) / long probation period
Preply,Fun to work,"If you enjoy teaching or want to try teaching, Preply could be your good option. I don't thin they're picky when they hire tutors however, incomes depend on tutors' ability, experience, qualifications and so on. Even though I think they have some problem when it comes to the free trial lesson system because they don't pay tutors and make tutors work free, I think opportunities are pretty equal to everyone and fair. I would recommend working for this company in general.",2023-10-19,"Brookline, MA",Korean Instructor,Current Employee,4.0,5.0,3.0,3.0,2.0,4.0,Flexibility.,Average lesson fee is too low.
Preply,Fun work and flexible,Good and flexible working hours from Wherever you want. Its nice oppertunity to meet from all over the world. The only downside is that every first new lesson with a student is free,2023-10-13,"Belgium, IL",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Preply,"This job is what you make of it, which can be great and awful altogether.","You can set your own availability and price, but your hours might not fill up or fill up with unpaid trial lessons, and for normal lessons, they take a decent cut of your price per lesson. With over 4 years on the site, it has been delightful to see it grow but it really is a site built for the students, not the teachers. A prospective student could book a trial lesson without having talked to you, not respond to any messages you send before the trial lesson, and then demand large asks during the unpaid trial lesson. Some students are absolutely great as well, but you don't get much information beforehand so it's a gamble. You can choose who you continue to teach after the trial lesson, they've also added a block button against students (finally after two years). They penalize you if you cancel a lesson, especially trial lessons. You can attempt to contact the student to change the time but if they don't respond you're stuck.  Once you have some established students you can make your account unavailable to new students, which is a great feature otherwise half your day could be trial lessons. I have some students that I've seen weekly for 3+ years and the site is great for the longstanding student-tutor relations. The support staff is international, the company is Ukrainian, and they respond fairly quickly depending on your time zone. The site has its own video platform, which is always being developed. It provides a virtual whiteboard, notecards, and prepared lessons. You cannot choose a virtual background.",2023-10-11,Online,Online ESL Tutor,Current Employee,4.0,5.0,3.0,3.0,4.0,4.0,"Choose your own hours, price, and to a degree your students","They will take ~30-18% of your lesson price, it will never be less than 18%"
Preply,The commission rate is too expensive compared to most of its competitors.,This platform does not treat tutors well and set lots of policies that make them work comfortably and securely. They take too much commission fee from each lesson and tutors need to set a higher price for each lesson to make their lives even though they don't want to for learners.,2023-10-07,"Brookline, MA",Japanese Tutor,Current Employee,1.0,3.0,1.0,1.0,1.0,1.0,Flexibility in working schedule for work life balance,Commission fee is too expensive
Preply,Good platform,"Good platform however, if you don't have a lot of experience, you will have to drop your price very low to start gaining students. And the platform takes a commision fee so that means less money overall. Good to gain experience though.",2023-09-21,"Johannesburg, CA",Tutor,Current Employee,3.0,0.0,0.0,0.0,0.0,0.0,,
Preply,Good place to work,"Preply is a good place to work as tutors set their own hourly rate. The platform is easy to learn, and they offer helpful technical support if needed.",2023-09-10,Remote,Online ESL Teacher,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Preply,Its ok,"You can make ok money but it’s unstable. Students have a lot of cancellation power which can easily affect your earnings. That being said, its flexible and can allow you to work anywhere,  which is great",2023-08-25,"Houston, TX",Tutor,Current Employee,3.0,0.0,0.0,0.0,0.0,0.0,,
Preply,The best job I ever had!,The most flexible and best paid job I ever had by far!  I work completely remotely from home and work as much as I want and I totally manage my times as I want. Payment is absolutely great there are just some very small adjustments I would like to see: Students shouldn’t be able to cancel their class for free on the same day - this makes it absolutely impossible for me to plan my day and I have to open my calendar from 2pm - 2am even tho I have a lot of free slots in between because so many students cancel their classes last minute. I would highly recommend a cancellation policy like booking.com has it: Cancel 24h before - 25%  12h before - 50% 8h before - 100% Other then that I am quiet fine but I would like to her a small bonus when I work a lot of hours and already paid Preply more than 300$ of commission for a week - for example they could do it like this: The first 20 hours a week are the regular 18% commission - the next 10 hours are with 16% commission and everything more than 30 hours are just 12% commission- with that Preply would become more attractive as a full time job. But the rest is perfect!,2023-08-24,Teacher,Teacher,Current Employee,5.0,5.0,5.0,5.0,5.0,5.0,Amazing salary and opportunity to live wherever you want,Impossible to have a usual 9-5 day structure because of the cancellation policy
